,Audio,Visual
0,0.11215574563675326,0.11922092147615848
1,0.08349221929316962,0.11352293085727405
2,0.10775948300297285,0.11339812051806339
3,0.08374941895049064,0.103431176992204
4,0.087772160151871,0.08572498438119643
5,0.10143072384756949,0.09023583236075852
6,0.11220046665496788,0.09590326740850949
7,0.09167042139371026,0.11794062431960115
8,0.09391713791707847,0.08558805765630438
9,0.09381042272761245,0.10918977408017433
10,0.09144018466654105,0.09395496710229316
11,0.1127110545625068,0.11595861295566992
12,0.11678534626505474,0.09027637314770529
13,0.08745816691871561,0.08208215057433556
14,0.08499526081978252,0.09061280877388732
15,0.0800393909171929,0.09440554145361131
16,0.10950175050708509,0.10592738327562495
17,0.10867197382352933,0.08379523195877822
18,0.10706698445493953,0.08594620661433319
19,0.08701690653916576,0.09813283755381766
20,0.09426327194986933,0.11809482298712135
21,0.11308525004756168,0.08508108678746491
22,0.10213593037672933,0.10305687820894698
23,0.0844968707459392,0.08119333072798895
24,0.11485800174512023,0.10824026726811095
25,0.1150135581320299,0.1072371139335241
26,0.09913542941390774,0.1044298620769298
27,0.10762728721763029,0.09087125287644336
28,0.11147625396883121,0.08174541156219409
29,0.10527161525412959,0.10359332821912383
30,0.10794532478942222,0.0831441901713417
31,0.08498185963776374,0.08955324118789601
32,0.10113673838691861,0.11089836146510931
33,0.0837700358711535,0.11682485274853356
34,0.11057033739481227,0.11317574694775744
35,0.11360968162687432,0.0957815526076314
36,0.08580528279513946,0.09640823445915403
37,0.1135806388913257,0.0807156096008359
38,0.10021143087878845,0.11455618725637859
39,0.11076428161805926,0.09874774182914986
40,0.099697029585539,0.085782246102055
41,0.08999619780339949,0.09735357649665011
42,0.08545401143197467,0.0888955530633909
43,0.10909079401972513,0.10306596915757882
44,0.09134625881057379,0.10880735231354591
45,0.08916386088720799,0.08579721803920205
46,0.10260252498943898,0.11257345903123542
47,0.09950003151603798,0.08696349339415187
48,0.08620761048302436,0.08089264044714346
49,0.11445970571743412,0.08247196457647472
